class,group,theme,presentation_url,materials_url,pdf_url
水野クラス,グループA,ケア労働が社会進出の役立つのか？,images/mizuno_group_a/mizuno_group_a_1.jpeg;images/mizuno_group_a/mizuno_group_a_2.jpeg;images/mizuno_group_a/mizuno_group_a_3.jpeg;images/mizuno_group_a/mizuno_group_a_4.jpeg;images/mizuno_group_a/mizuno_group_a_5.jpeg;images/mizuno_group_a/mizuno_group_a_6.jpeg;images/mizuno_group_a/mizuno_group_a_7.jpeg;images/mizuno_group_a/mizuno_group_a_8.jpeg;images/mizuno_group_a/mizuno_group_a_9.jpeg;images/mizuno_group_a/mizuno_group_a_10.jpeg;images/mizuno_group_a/mizuno_group_a_11.jpeg;images/mizuno_group_a/mizuno_group_a_12.jpeg;images/mizuno_group_a/mizuno_group_a_13.jpeg;images/mizuno_group_a/mizuno_group_a_14.jpeg;images/mizuno_group_a/mizuno_group_a_15.jpeg,https://www.dropbox.com/scl/fi/q36h05brl30u7dvr0yakw/A.pptx?rlkey=zl66cvccai4f1181v5glbapyd&dl=0,pdf/mizuno_group_a.pdf
水野クラス,グループB,成長期におけるジェンダー教育論,images/mizuno_group_b/mizuno_group_b_1.jpeg;images/mizuno_group_b/mizuno_group_b_2.jpeg;images/mizuno_group_b/mizuno_group_b_3.jpeg;images/mizuno_group_b/mizuno_group_b_4.jpeg;images/mizuno_group_b/mizuno_group_b_5.jpeg;images/mizuno_group_b/mizuno_group_b_6.jpeg;images/mizuno_group_b/mizuno_group_b_7.jpeg;images/mizuno_group_b/mizuno_group_b_8.jpeg;images/mizuno_group_b/mizuno_group_b_9.jpeg;images/mizuno_group_b/mizuno_group_b_10.jpeg;images/mizuno_group_b/mizuno_group_b_11.jpeg;images/mizuno_group_b/mizuno_group_b_12.jpeg;images/mizuno_group_b/mizuno_group_b_13.jpeg;images/mizuno_group_b/mizuno_group_b_14.jpeg;images/mizuno_group_b/mizuno_group_b_15.jpeg;images/mizuno_group_b/mizuno_group_b_16.jpeg;images/mizuno_group_b/mizuno_group_b_17.jpeg;images/mizuno_group_b/mizuno_group_b_18.jpeg;images/mizuno_group_b/mizuno_group_b_19.jpeg;images/mizuno_group_b/mizuno_group_b_20.jpeg,https://www.dropbox.com/scl/fi/2qrtw5fz6y5fci8e5m2su/B.pptx?rlkey=z5fe74umpy6pv3c98ymvt18jb&dl=0,pdf/mizuno_group_b.pdf
水野クラス,グループC,日本に北欧におけるジェンダー格差とその解決策,images/mizuno_group_c/mizuno_group_c_1.jpeg;images/mizuno_group_c/mizuno_group_c_2.jpeg;images/mizuno_group_c/mizuno_group_c_3.jpeg;images/mizuno_group_c/mizuno_group_c_4.jpeg;images/mizuno_group_c/mizuno_group_c_5.jpeg;images/mizuno_group_c/mizuno_group_c_6.jpeg;images/mizuno_group_c/mizuno_group_c_7.jpeg;images/mizuno_group_c/mizuno_group_c_8.jpeg;images/mizuno_group_c/mizuno_group_c_9.jpeg;images/mizuno_group_c/mizuno_group_c_10.jpeg;images/mizuno_group_c/mizuno_group_c_11.jpeg;images/mizuno_group_c/mizuno_group_c_12.jpeg;images/mizuno_group_c/mizuno_group_c_13.jpeg;images/mizuno_group_c/mizuno_group_c_14.jpeg,https://www.dropbox.com/scl/fi/b1gjon1uy8y2e12ia4t9k/C.pptx?rlkey=k1b7fpclaab34zfd7l3e77afn&dl=0,pdf/mizuno_group_c.pdf
井口クラス,グループA,心と身体を守るために,images/iguchi_group_a/iguchi_group_a_1.jpeg;images/iguchi_group_a/iguchi_group_a_2.jpeg;images/iguchi_group_a/iguchi_group_a_3.jpeg;images/iguchi_group_a/iguchi_group_a_4.jpeg;images/iguchi_group_a/iguchi_group_a_5.jpeg;images/iguchi_group_a/iguchi_group_a_6.jpeg;images/iguchi_group_a/iguchi_group_a_7.jpeg;images/iguchi_group_a/iguchi_group_a_8.jpeg;images/iguchi_group_a/iguchi_group_a_9.jpeg;images/iguchi_group_a/iguchi_group_a_10.jpeg;images/iguchi_group_a/iguchi_group_a_11.jpeg;images/iguchi_group_a/iguchi_group_a_12.jpeg;images/iguchi_group_a/iguchi_group_a_13.jpeg;images/iguchi_group_a/iguchi_group_a_14.jpeg;images/iguchi_group_a/iguchi_group_a_15.jpeg;images/iguchi_group_a/iguchi_group_a_16.jpeg,https://example.com/iguchi_group_a.pdf,pdf/iguchi_group_a.pdf
井口クラス,グループB,女性のキャリアプランと意識　ー私たちが今からできること,images/iguchi_group_b/iguchi_group_b_1.jpg;images/iguchi_group_b/iguchi_group_b_2.jpg;images/iguchi_group_b/iguchi_group_b_3.jpg;images/iguchi_group_b/iguchi_group_b_4.jpg;images/iguchi_group_b/iguchi_group_b_5.jpg;images/iguchi_group_b/iguchi_group_b_6.jpg;images/iguchi_group_b/iguchi_group_b_7.jpg;images/iguchi_group_b/iguchi_group_b_8.jpg;images/iguchi_group_b/iguchi_group_b_9.jpg;images/iguchi_group_b/iguchi_group_b_10.jpg;images/iguchi_group_b/iguchi_group_b_11.jpg;images/iguchi_group_b/iguchi_group_b_12.jpg;images/iguchi_group_b/iguchi_group_b_13.jpg;images/iguchi_group_b/iguchi_group_b_14.jpg;images/iguchi_group_b/iguchi_group_b_15.jpg;images/iguchi_group_b/iguchi_group_b_16.jpg,https://example.com/iguchi_group_b.pdf,pdf/iguchi_group_b.pdf
井口クラス,グループC,女性が声をあげやすい社会に,images/iguchi_group_c/iguchi_group_c_1.jpeg;images/iguchi_group_c/iguchi_group_c_2.jpeg;images/iguchi_group_c/iguchi_group_c_3.jpeg;images/iguchi_group_c/iguchi_group_c_4.jpeg;images/iguchi_group_c/iguchi_group_c_5.jpeg;images/iguchi_group_c/iguchi_group_c_6.jpeg;images/iguchi_group_c/iguchi_group_c_7.jpeg;images/iguchi_group_c/iguchi_group_c_8.jpeg;images/iguchi_group_c/iguchi_group_c_9.jpeg;images/iguchi_group_c/iguchi_group_c_10.jpeg;images/iguchi_group_c/iguchi_group_c_11.jpeg;images/iguchi_group_c/iguchi_group_c_12.jpeg;images/iguchi_group_c/iguchi_group_c_13.jpeg;images/iguchi_group_c/iguchi_group_c_14.jpeg;images/iguchi_group_c/iguchi_group_c_15.jpeg,https://example.com/iguchi_group_c.pdf,pdf/iguchi_group_c.pdf
高尾クラス,グループA,女性偉人かるたの提案,https://youtu.be/KiGqlalU6UI,https://konanwu.sharepoint.com/:p:/s/B300207_2025/EV9WV07aZppLjNLXD-I3nrgBC368M16j6lVD4snd4ITSFw?e=yV6c6Y,pdf/takawo_group_a.pdf
高尾クラス,グループB,女性のための護身アプリ「Luminous」,https://youtu.be/4pZfuzLzWuc,https://konanwu.sharepoint.com/:p:/s/B300207_2025/EY8qeHWbo0tMocxLqcVSA-IBU5NkUMzJxL0HHQsXbmqMKg?e=KdUZUt,pdf/takawo_group_b.pdf
高尾クラス,グループC,スマホから社会を変えるーSNSで動き出す女性活躍の未来,https://youtu.be/AfyELfP4B5g,https://www.notion.so/29b67b09fcee8086a7a5cadc02abd7de,pdf/takawo_group_c.pdf
八尾クラス,グループA,生理休暇を取りやすくするために,https://youtu.be/CO9pGAS-6Ug,https://konanwu.sharepoint.com/:p:/s/B300201_2025/EXKi0FguGuhOnb-owgN3UwIBYf71Qs5RieeXOJdZ4_UnfA?e=8OKkkU,pdf/yao_group_a.pdf
八尾クラス,グループB,AIと働くことについて,https://youtu.be/vp5BEkG77IM,https://konanwu.sharepoint.com/:p:/s/B300201_2025/EYR_9JN1qnNPqZw7n7r7_MwB5pEuWrtgheTSxPUVQzzgdA?e=oduLGy,pdf/yao_group_b.pdf
八尾クラス,グループC,妊娠・出産から考える、女性の生き方,https://youtu.be/ByNm9ggRVl8,https://konanwu.sharepoint.com/:p:/s/B300201_2025/EUB1CYf7IIdDgPmZESNzsg8BtoJ9I7D4ZPaskuH9aGbysA?e=ayF5R6,pdf/yao_group_c.pdf
山下クラス,1班,女性が社会で活躍するために私たちができること,https://youtu.be/cIyNWmBy-lI,https://www.notion.so/2b73283824a88068b9f8c62ce88def08,pdf/yamashita_group_a.pdf
山下クラス,2班,女性が活躍するために私たちができること,https://youtu.be/FY7yMp0Xm9E,https://konanwu-my.sharepoint.com/:p:/g/personal/ka225023_konan-wu_ac_jp/EaGfRZlXIxxHh5Zc3M0pDfEBGtIKbW0Y4t0pLy38xy3BVg?e=1qcbB3,pdf/yamashita_group_b.pdf
山下クラス,3班,女性が社会で活躍するために私たちが出来ること,https://youtu.be/fjk-Ml36-5g,https://konanwu-my.sharepoint.com/:p:/g/personal/ka225008_konan-wu_ac_jp/EQPxCtHraGtPq9SnUh2qzUIBH7lF3cp92vkSAWUJgYJ7Iw?e=fzXDfm,pdf/yamashita_group_c.pdf